Name,Birth Date,Death Date,Description,Actor,Author,Musician
Leroy Vinnegar,1928,1999-08-03," , american musician ",False,False,True
Victor Mature,1913,1999-08-04," , american actor ",True,False,False
Anthony Stanislas Radziwill,1959,1999-08-10," , american television executive and filmmaker ",True,False,False
Norman Wexler,1926,1999-08-23," , american screenwriter ",False,True,False
James White (author)|James White,1928,1999-08-23," , irish writer ",False,True,False
Mary Jane Croft,1916,1999-08-24," , american actress ",True,False,False
Rob Fisher (British musician)|Rob Fisher,1956,1999-08-25," , british keyboardist and songwriter ",False,True,False
Jim Keith,1949,1999-09-07," , american author ",False,True,False
Ruth Roman,1922,1999-09-09," , american actress ",True,False,False
Alfredo Kraus,1927,1999-09-10," , spanish tenor ",False,False,True
Charles Crichton,1910,1999-09-14," , english film director ",True,False,False
Frankie Vaughan,1928,1999-09-17," , british singer ",False,False,True
George C. Scott,1927,1999-09-22," , american actor ",True,False,False
Ivan Goff,1910,1999-09-23," , australian screenwriter ",False,True,False
Marion Zimmer Bradley,1930,1999-09-25," , american writer ",False,True,False
Art Farmer,1928,1999-10-04," , american jazz trumpeter ",False,False,True
Amália Rodrigues,1920,1999-10-06," , portuguese fado singer and actress ",True,False,True
Helen Vinson,1907,1999-10-07," , american actress ",True,False,False
Milt Jackson,1923,1999-10-09," , american musician ",False,False,True
Harry Bannink,1929,1999-10-19," , dutch composer and musician ",False,False,True
Nathalie Sarraute,1900,1999-10-19," , russian-born francophone lawyer and writer ",False,True,False
Lars Bo,1924,1999-10-21," , danish artist and writer ",False,True,False
Hoyt Axton,1938,1999-10-26," , american actor and singer-songwriter ",True,True,True
Abraham Polonsky,1910,1999-10-26," , american screenwriter and director ",False,True,False
Rex Gildo,1936,1999-10-26," , german singer ",False,False,True
Frank De Vol,1911,1999-10-27," , american arranger, composer, and actor ",True,False,True
Ian Bannen,1928,1999-11-03," , british actor ",True,False,False
Mabel King,1932,1999-11-09," , american actress ",True,False,False
Mary Kay Bergman,1961,1999-11-11," , american actress ",True,False,False
Jacobo Timerman,1923,1999-11-11," , argentine journalist and author ",False,True,False
Gene Levitt,1920,1999-11-15," , american television writer, producer, and director ",False,True,False
Doug Sahm,1941,1999-11-18," , american musician ",False,False,True
Paul Bowles,1910,1999-11-18," , american novelist ",False,True,False
Ralph Foody,1928,1999-11-21," , american actor ",True,False,False
Horacio Gómez Bolaños,1930,1999-11-21," , mexican actor ",True,False,False
Quentin Crisp,1908,1999-11-21," , english writer ",False,True,False
Hilary Minster,1944,1999-11-24," , english actor ",True,False,False
Jim Wiggins (actor)|Jim Wiggins,1922,1999-11-27," , english actor ",True,False,False
Charlie Byrd,1925,1999-12-02," , american jazz musician and classical guitarist ",False,False,True
Madeline Kahn,1942,1999-12-03," , american actress ",True,False,False
Scatman John,1942,1999-12-03," , american musician ",False,False,True
Péter Kuczka,1923,1999-12-08," , hungarian author ",False,True,False
Pupella Maggio,1910,1999-12-08," , italian actress ",True,False,False
Rick Danko,1943,1999-12-10," , canadian musician ",False,False,True
Joseph Heller,1923,1999-12-12," , american novelist ",False,True,False
Rex Allen,1920,1999-12-17," , american actor, singer, and songwriter ",True,True,True
"Grover Washington, Jr.",1943,1999-12-17," , american saxophonist ",False,False,True
Robert Bresson,1901,1999-12-18," , french filmmaker ",True,False,False
Desmond Llewelyn,1914,1999-12-19," , british actor ",True,False,False
Irving Rapper,1898,1999-12-20," , american film director ",True,False,False
Hank Snow,1914,1999-12-20," , canadian musician ",False,False,True
Tito Guízar,1908,1999-12-24," , mexican singer and film actor ",True,False,True
Curtis Mayfield,1942,1999-12-26," , american musician and composer ",False,False,True
Clayton Moore,1914,1999-12-28," , american actor ",True,False,False
Nat Adderley,1931,2000-01-02," , american jazz musician ",False,False,True
Patrick O'Brian,1914,2000-01-02," , british writer ",False,True,False
Diether Krebs,1947,2000-01-04," , german actor, cabaret artist and comedian. ",True,False,False
Makhmud Esambayev,1924,2000-01-07," , russian actor and dancer ",True,False,False
Sam Jaffe (producer)|Sam Jaffe,1901,2000-01-10," , american film producer ",True,False,False
Dan Kemp,1927,2000-01-11," , american actor ",True,False,False
Frances Drake,1912,2000-01-18," , american actress ",True,False,False
Alan North,1920,2000-01-19," , american actor ",True,False,False
Hedy Lamarr,1914,2000-01-19," , austrian actress ",True,False,False
Izabella Yurieva,1899,2000-01-20," , russian singer ",False,False,True
Rex Nelon,1932,2000-01-24," , american southern gospel singer ",False,False,True
Claude Autant-Lara,1901,2000-02-05," , french film director ",True,False,False
Big Pun,1971,2000-02-07," , american rapper ",False,False,True
Shiho Niiyama,1970,2000-02-07," , japanese voice actress ",True,False,False
Jim Varney,1949,2000-02-10," , american actor ",True,False,False
Roger Vadim,1928,2000-02-11," , french film director and producer ",True,False,False
Oliver (singer)|Oliver,1945,2000-02-12," , american pop singer ",False,False,True
Screamin' Jay Hawkins,1929,2000-02-12," , american rock singer and performer ",False,False,True
Charles M. Schulz,1922,2000-02-12," , american comic strip artist ",False,True,False
Ofra Haza,1957,2000-02-23," , israeli singer ",False,False,True
Toni Ortelli,1904,2000-03-03," , italian composer and alpinist ",False,False,True
Lolo Ferrari,1962,2000-03-05," , french actress and dancer ",True,False,False
John Colicos,1928,2000-03-06," , canadian actor ",True,False,False
Charles Gray (actor)|Charles Gray,1928,2000-03-07," , english actor ",True,False,False
Jean Coulthard,1908,2000-03-09," , canadian composer and music educator ",False,False,True
Gene Eugene,1961,2000-03-20," , canadian actor and singer ",True,False,True
Ian Dury,1942,2000-03-27," , british rock musician ",False,False,True
Anthony Powell,1905,2000-03-28," , british author ",False,True,False
Terence McKenna,1946,2000-04-03," , american writer, philosopher, writer and entheogen advocate ",False,True,False
Larry Linville,1939,2000-04-10," , american actor ",True,False,False
Diana Darvey,1945,2000-04-11," , british actress, singer and dancer ",True,False,True
Edward Gorey,1925,2000-04-15," , american writer and illustrator ",False,True,False
Steve Reeves,1926,2000-05-01," , american actor and bodybuilder ",True,False,False
Sundar Popo,1943,2000-05-02," , indo-trinidadian chutney musician ",False,False,True
"Douglas Fairbanks, Jr.",1909,2000-05-07," , american actor ",True,False,False
Kaneto Shiozawa,1954,2000-05-10," , japanese voice actor ",True,False,False
Craig Stevens (actor)|Craig Stevens,1918,2000-05-10," , american actor ",True,False,False
René Muñoz,1938,2000-05-11," , cuban actor and screenwriter ",True,True,False
Barbara Cartland,1901,2000-05-21," , british novelist ",False,True,False
John Gielgud,1904,2000-05-21," , british actor ",True,False,False
Francis Lederer,1899,2000-05-25," , french film and stage actor ",True,False,False
Doris Hare,1905,2000-05-30," , british actress ",True,False,False
Tito Puente,1923,2000-05-31," , american jazz musician ",False,False,True
Logan Ramsey,1921,2000-06-12," , american actor ",True,False,False
Alan Hovhaness,1911,2000-06-21," , american composer ",False,False,True
David Tomlinson,1917,2000-06-24," , english actor ",True,False,False
Vittorio Gassman,1922,2000-06-29," , italian actor ",True,False,False
Walter Matthau,1920,2000-07-01," , american actor ",True,False,False
Alec Guinness,1914,2000-08-05," , british actor and writer ",True,True,False
Otto Buchsbaum,1920,2000-08-05," , german writer and ecological activist ",False,True,False
K. Kailasanatha Kurukkal,1921,2000-08-08," , researcher, writer and professor of [[jaffna]], sri lanka ",False,True,False
Dave Edwards (musician)|Dave Edwards,1941,2000-08-12," , american musician ",False,False,True
Loretta Young,1913,2000-08-12," , american actress ",True,False,False
Nazia Hassan,1964,2000-08-13," , pakistani singer ",False,False,True
Carl Barks,1901,2000-08-25," , american cartoonist and screenwriter ",False,True,False
Curt Siodmak,1902,2000-09-02," , american novelist and screenwriter ",False,True,False
Beah Richards,1920,2000-09-14," , american actress ",True,False,False
Ann Doran,1911,2000-09-19," , american actress ",True,False,False
R. S. Thomas,1913,2000-09-25," , welsh poet ",False,True,False
Richard Mulligan,1932,2000-09-26," , american actor ",True,False,False
Benjamin Orr,1947,2000-10-03," , american singer-songwriter ",False,True,True
Richard Farnsworth,1920,2000-10-06," , american actor ",True,False,False
Sheila Holland,1937,2000-10-08," , english writer ",False,True,False
Jean Peters,1926,2000-10-13," , american actress ",True,False,False
Rick Jason,1923,2000-10-16," , american actor ",True,False,False
Julie London,1926,2000-10-18," , american singer and actress ",True,False,True
Fred Pratt Green,1903,2000-10-22," , british methodist minister and hymn writer ",False,True,False
Walter Berry (bass-baritone)|Walter Berry,1929,2000-10-27," , austrian bass-baritone ",False,False,True
Steve Allen,1921,2000-10-30," , american comedian and author ",False,True,False
"Ring Lardner, Jr.",1915,2000-10-31," , american screenwriter ",False,True,False
Roger Peyrefitte,1907,2000-11-05," , french writer and diplomat ",False,True,False
Jimmie Davis,1899,2000-11-05," , american singer ",False,False,True
L. Sprague de Camp,1907,2000-11-06," , american writer ",False,True,False
Hugh Paddick,1915,2000-11-11," , british actor ",True,False,False
DJ Screw,1971,2000-11-16," , american hip hop dj ",False,False,True
Christian Marquand,1927,2000-11-22," , french actor and director ",True,False,False
Liane Haid,1895,2000-11-28," , austrian actress ",True,False,False
Gail Fisher,1935,2000-12-02," , american actress ",True,False,False
Gwendolyn Brooks,1917,2000-12-03," , american writer ",False,True,False
Werner Klemperer,1920,2000-12-06," , american actor ",True,False,False
Marie Windsor,1919,2000-12-10," , american actress ",True,False,False
Kirsty MacColl,1959,2000-12-18," , british singer ",False,False,True
"Pops Staples|Roebuck ""Pops"" Staples",1914,2000-12-19," , american musician ",False,False,True
Victor Borge,1909,2000-12-23," , danish-born comedian and pianist ",False,False,True
Billy Barty,1924,2000-12-23," , american actor ",True,False,False
Jason Robards,1922,2000-12-26," , american actor ",True,False,False
Julius J. Epstein,1909,2000-12-30," , american screenwriter ",False,True,False
Ray Walston,1914,2001-01-01," , american actor ",True,False,False
Virginia O'Brien,1919,2001-01-16," , american actress ",True,False,False
Gordon R. Dickson,1923,2001-01-31," , canadian writer ",False,True,False
Iannis Xenakis,1922,2001-02-04," , greek composer ",False,False,True
King Moody,1929,2001-02-07," , american actor ",True,False,False
Stanley Kramer,1913,2001-02-19," , american film director ",True,False,False
Charles Trenet,1913,2001-02-19," , french singer ",False,False,True
Rosemary DeCamp,1910,2001-02-20," , american actress ",True,False,False
Robert Ludlum,1927,2001-03-12," , american author ",False,True,False
Ann Sothern,1909,2001-03-15," , american actress ",True,False,False
John Phillips (musician)|John Phillips,1935,2001-03-18," , american singer-songwriter ",False,True,True
David Graf,1950,2001-04-07," , american actor ",True,False,False
Beatrice Straight,1914,2001-04-07," , american actress ",True,False,False
Van Stephenson,1953,2001-04-08," , american singer-songwriter ",False,True,True
Safiya Henderson-Holmes,1950,2001-04-08," , african-american poet ",False,True,False
Joey Ramone,1951,2001-04-15," , american musician and singer ",False,False,True
Giuseppe Sinopoli,1946,2001-04-20," , italian conductor and composer ",False,False,True
Jack Haley Jr.,1933,2001-04-21," , american film director and producer ",True,False,False
Douglas Adams,1952,2001-05-11," , english author ",False,True,False
Perry Como,1912,2001-05-12," , american singer ",False,False,True
R. K. Narayan,1906,2001-05-13," , indian novelist ",False,True,False
Arlene Francis,1907,2001-05-31," , american actress and game show panelist ",True,False,False
Imogene Coca,1908,2001-06-02," , american actress ",True,False,False
Anthony Quinn,1915,2001-06-03," , mexican-american actor ",True,False,False
Carroll O'Connor,1924,2001-06-21," , american actor ",True,False,False
John Lee Hooker,1917,2001-06-21," , american musician ",False,False,True
Jack Lemmon,1925,2001-06-27," , american actor and director ",True,False,False
Tove Jansson,1914,2001-06-27," , finnish author ",False,True,False
Joan Sims,1930,2001-06-28," , english actress ",True,False,False
Chet Atkins,1924,2001-06-30," , american guitarist and record producer ",False,False,True
Herman Brood,1946,2001-07-11," , dutch musician ",False,False,True
Sivaji Ganesan,1928,2001-07-21," , indian actor ",True,False,False
Hiroshi Tsuburaya,1964,2001-07-24," , japanese actor ",True,False,False
Ahmed Sofa,1943,2001-07-28," , [[bangladesh]]i writer ",False,True,False
Poul Anderson,1926,2001-08-01," , american author ",False,True,False
Lorenzo Music,1937,2001-08-04," , american voice actor ",True,False,False
Jorge Amado,1912,2001-08-06," , brazilian writer ",False,True,False
Larry Adler,1914,2001-08-06," , american musician ",False,False,True
Fred Hoyle,1915,2001-08-20," , british astronomer and writer ",False,True,False
Kathleen Freeman,1919,2001-08-23," , american actress ",True,False,False
Jane Greer,1924,2001-08-24," , american actress ",True,False,False
Contemporary R&B|R&B,1979,2001-08-25,  singer and actress ,True,False,True
Kothamangalam Seenu,1910,2001-08-30," , tamil stage, cinema actor and a carnatic music singer ",True,False,True
Troy Donahue,1936,2001-09-02," , american actor ",True,False,False
Thuy Trang,1973,2001-09-03," , vietnamese american actress ",True,False,False
Alice Stewart Trillin,1938,2001-09-11," , american author, actor, and film producer ",True,True,False
Victor Wong (actor born 1927)|Victor Wong,1927,2001-09-12," , chinese-american character actor ",True,False,False
Frédéric-Antonin Breysse,1907,2001-09-13," , french cartoonist ",False,True,False
Dorothy McGuire,1916,2001-09-14," , american actress ",True,False,False
Isaac Stern,1920,2001-09-22," , ukrainian violinist ",False,False,True
Georgy Vitsin,1917,2001-10-22," , soviet and russian actor ",True,False,False
Jaromil Jireš,1935,2001-10-24," , czechoslovak filmmaker ",True,False,False
Milton William Cooper,1943,2001-11-06," , american author and radio host ",False,True,False
Nida Blanca,1936,2001-11-07," , filipino actress ",True,False,False
Ken Kesey,1935,2001-11-10," , american author ",False,True,False
Michael Karoli,1948,2001-11-17," , german musician ",False,False,True
Rachel Gurney,1920,2001-11-24," , british actress ",True,False,False
John Mitchum,1919,2001-11-29," , american actor ",True,False,False
Chuck Schuldiner,1967,2001-12-13," , american singer and guitarist ",False,False,True
Stuart Adamson,1958,2001-12-16," , scottish singer and guitarist ([[big country]]) ",False,False,True
Marcel Mule,1901,2001-12-18," , french saxophonist ",False,False,True
Grzegorz Ciechowski,1957,2001-12-22," , polish musician ",False,False,True
Nigel Hawthorne,1929,2001-12-26," , british actor ",True,False,False
Eileen Heckart,1919,2001-12-31," , american actress ",True,False,False
Camilo José Cela,1916,2002-01-17," , spanish writer ",False,True,False
Peggy Lee,1920,2002-01-22," , american singer and actress ",True,False,True
Astrid Lindgren,1907,2002-01-28," , swedish children's book author ",False,True,False
Hildegard Knef,1925,2002-02-01," , german actress ",True,False,False
Waylon Jennings,1937,2002-02-13," , american country music singer ",False,False,True
Kevin Smith (New Zealand actor)|Kevin Smith,1963,2002-02-15," , new zealand actor ",True,False,False
Billy Wilder,1906,2002-03-27," , polish-american film screenwriter and director ",False,True,False
Dudley Moore,1935,2002-03-27," , english pianist, comedian, and actor ",True,False,True
Layne Staley,1967,2002-04-05," , american singer ([[alice in chains]]) ",False,False,True
María Félix,1914,2002-04-08," , mexican actress ",True,False,False
Robert Urich,1946,2002-04-16," , american actor ",True,False,False
Linda Lovelace,1949,2002-04-22," , american pornographic actress ",True,False,False
Lisa Lopes,1971,2002-04-25," , american rapper ([[tlc (band)|tlc]]) ",False,False,True
George Alec Effinger,1947,2002-04-27," , american author ",False,True,False
Pim Fortuyn,1948,2002-05-06," , dutch politician, author and professor ",False,True,False
Stephen Jay Gould,1941,2002-05-20," , american paleontologist and author ",False,True,False
Dee Dee Ramone,1951,2002-06-05," , american bassist ",False,False,True
John Entwistle,1944,2002-06-27," , english bassist ([[the who]]) ",False,False,True
Rosemary Clooney,1928,2002-06-29," , american singer and actress ",True,False,True
Ray Brown (musician)|Ray Brown,1926,2002-07-02," , american bassist ",False,False,True
Katy Jurado,1924,2002-07-05," , mexican actress ",True,False,False
John Frankenheimer,1930,2002-07-06," , american film director ",True,False,False
Rod Steiger,1925,2002-07-09," , american actor ",True,False,False
Chaim Potok,1929,2002-07-23," , american author and rabbi ",False,True,False
Lionel Hampton,1908,2002-08-31," , american musician ",False,False,True
Kim Hunter,1922,2002-09-11," , american actress ",True,False,False
Ray Conniff,1916,2002-10-12," , american musician and bandleader ",False,False,True
Richard Harris,1930,2002-10-25," , irish actor ",True,False,False
Jam Master Jay,1965,2002-10-30," , american hip-hop dj ",False,False,True
James Coburn,1928,2002-11-18," , american actor ",True,False,False
Glenn Quinn,1970,2002-12-03," , irish actor ",True,False,False
Maurice Pialat,1925,2003-01-11," , french actor and director ",True,False,False
Maurice Gibb,1949,2003-01-12," , british musician ",False,False,True
Richard Crenna,1926,2003-01-17," , american actor ",True,False,False
Lou Harrison,1917,2003-02-02," , american composer ",False,False,True
Maurice Blanchot,1907,2003-02-20," , french philosopher and writer ",False,True,False
Howard Fast,1914,2003-03-12," , american novelist ",False,True,False
Michael Jeter,1952,2003-03-30," , american actor ",True,False,False
Leslie Cheung,1956,2003-04-01," , hong kong singer and actor ",True,False,True
Edwin Starr,1942,2003-04-02," , american soul singer ",False,False,True
Nina Simone,1933,2003-04-21," , american singer ",False,False,True
Noel Redding,1946,2003-05-11," , english musician ",False,False,True
Robert Stack,1919,2003-05-14," , american actor ",True,False,False
Wendy Hiller,1912,2003-05-14," , english actress ",True,False,False
June Carter Cash,1929,2003-05-15," , american singer ",False,False,True
Luciano Berio,1925,2003-05-27," , italian composer ",False,False,True
Gregory Peck,1916,2003-06-12," , american actor ",True,False,False
Hume Cronyn,1911,2003-06-15," , canadian actor ",True,False,False
Leon Uris,1924,2003-06-21," , american writer ",False,True,False
Vasil Byka?,1924,2003-06-22," , belarusian novelist ",False,True,False
Katharine Hepburn,1907,2003-06-29," , american actress ",True,False,False
N?xau ?Toma,1944,2003-07-01," , namibian actor ",True,False,False
Barry White,1944,2003-07-04," , american singer ",False,False,True
Benny Carter,1907,2003-07-12," , american musician ",False,False,True
Compay Segundo,1907,2003-07-13," , cuban musician ([[buena vista social club]]) ",False,False,True
Roberto Bolaño,1953,2003-07-15," , chilean writer ",False,True,False
Celia Cruz,1925,2003-07-16," , cuban singer ",False,False,True
Rosalyn Tureck,1914,2003-07-17," , american pianist and harpsichordist ",False,False,True
John Schlesinger,1926,2003-07-25," , english film director ",True,False,False
Bob Hope,1903,2003-07-27," , english-american comedian and actor ",True,False,False
Marie Trintignant,1962,2003-08-01," , french actress ",True,False,False
Gregory Hines,1946,2003-08-09," , american dancer and actor ",True,False,False
Charles Bronson,1921,2003-08-30," , american actor ",True,False,False
Warren Zevon,1947,2003-09-07," , american singer ",False,False,True
Leni Riefenstahl,1902,2003-09-08," , german film director ",True,False,False
John Ritter,1948,2003-09-11," , american actor ",True,False,False
Johnny Cash,1932,2003-09-12," , american singer-songwriter and actor ",True,True,True
Shawn Lane,1963,2003-09-26," , american musician ",False,False,True
Robert Palmer (singer)|Robert Palmer,1949,2003-09-26," , english singer ",False,False,True
Donald O'Connor,1925,2003-09-27," , american actor, singer, and dancer ",True,False,True
Otto Günsche,1917,2003-10-02," , german adjutant of adolf hitler ",False,False,True
Timothy Treadwell,1957,2003-10-05," , american environmentalist and filmmaker ",True,False,False
Jack Elam,1918,2003-10-20," , american actor ",True,False,False
Elliott Smith,1969,2003-10-21," , american musician ",False,False,True
Franco Corelli,1921,2003-10-29," , italian opera tenor ",False,False,True
Hal Clement,1922,2003-10-29," , american writer ",False,True,False
Rasul Gamzatov,1923,2003-11-03," , poet ",False,True,False
Art Carney,1918,2003-11-09," , american actor ",True,False,False
Jonathan Brandis,1976,2003-11-12," , american actor ",True,False,False
Michael Kamen,1948,2003-11-18," , american composer ",False,False,True
David Hemmings,1941,2003-12-03," , english actor ",True,False,False
Rubén González (pianist)|Rubén González,1919,2003-12-08," , cuban pianist ([[buena vista social club]]) ",False,False,True
Ahmadou Kourouma,1927,2003-12-11," , ivorian writer ",False,True,False
Jeanne Crain,1925,2003-12-14," , american actress ",True,False,False
Hope Lange,1933,2003-12-19," , american actress ",True,False,False
Alan Bates,1934,2003-12-27," , english actor ",True,False,False
Anita Mui,1963,2003-12-30," , hong kong singer ",False,False,True
Ingrid Thulin,1926,2004-01-07," , swedish actress ",True,False,False
Terje Bakken,1978,2004-01-14," , norwegian musician ",False,False,True
Ann Miller,1923,2004-01-22," , american dancer and actress ",True,False,False
Mercedes McCambridge,1916,2004-03-02," , american actress ",True,False,False
Claude Nougaro,1929,2004-03-04," , french singer ",False,False,True
Paul Winfield,1941,2004-03-07," , american actor ",True,False,False
Peter Ustinov,1921,2004-03-28," , english actor and director ",True,False,False
"Hubert Selby, Jr.",1928,2004-04-26," , american writer ",False,True,False
Tony Randall,1920,2004-05-17," , american actor ",True,False,False
Ronald Reagan,1911,2004-06-05," , american politician and actor, 40th president of the united states (1981-1989) ",True,False,False
Quorthon,1966,2004-06-07," , swedish musician ",False,False,True
Ray Charles,1930,2004-06-10," , american singer and musician ",False,False,True
Naomi Shemer,1931,2004-06-26," , israeli songwriter ",False,True,False
Marlon Brando,1924,2004-07-01," , american actor ",True,False,False
Jerry Goldsmith,1929,2004-07-21," , american composer ",False,False,True
Sacha Distel,1933,2004-07-22," , french singer ",False,False,True
Rick James,1948,2004-08-06," , american musician ",False,False,True
Fay Wray,1907,2004-08-08," , canadian actress ",True,False,False
Czes?aw Mi?osz,1911,2004-08-14," , polish-born nobel writer ",False,True,False
Elmer Bernstein,1922,2004-08-18," , american composer ",False,False,True
Laura Branigan,1952,2004-08-26," , american singer ",False,False,True
Johnny Ramone,1948,2004-09-15," , american guitarist ",False,False,True
Françoise Sagan,1935,2004-09-24," , french writer ",False,True,False
Janet Leigh,1927,2004-10-03," , american actress ",True,False,False
Rodney Dangerfield,1921,2004-10-05," , american comedian and actor ",True,False,False
Christopher Reeve,1952,2004-10-10," , american actor and activist ",True,False,False
Theo van Gogh (film director)|Theo van Gogh,1957,2004-11-02," , dutch film director ",True,False,False
Howard Keel,1919,2004-11-07," , american singer and actor ",True,False,True
Stieg Larsson,1954,2004-11-09," , swedish writer ",False,True,False
Ol' Dirty Bastard,1968,2004-11-13," , american rapper ",False,False,True
Dimebag Darrell,1966,2004-12-08," , american guitarist ([[pantera]] and [[damageplan]]) ",False,False,True
Renata Tebaldi,1922,2004-12-19," , italian soprano ",False,False,True
Jerry Orbach,1935,2004-12-28," , american actor ",True,False,False
Susan Sontag,1933,2004-12-28," , american writer and activist ",False,True,False
Artie Shaw,1910,2004-12-30," , american musician ",False,False,True
Amrish Puri,1932,2005-01-12," , indian actor ",True,False,False
Victoria de los Ángeles,1923,2005-01-15," , spanish catalan soprano ",False,False,True
Virginia Mayo,1920,2005-01-17," , american actress ",True,False,False
Ossie Davis,1917,2005-02-04," , american actor ",True,False,False
Sandra Dee,1942,2005-02-20," , american actress ",True,False,False
Simone Simon,1910,2005-02-22," , french actress ",True,False,False
Teresa Wright,1918,2005-03-06," , american actress ",True,False,False
Saul Bellow,1915,2005-04-05," , canadian-american writer ",False,True,False
John Mills,1908,2005-04-23," , english actor ",True,False,False
Maria Schell,1926,2005-04-26," , austrian actress ",True,False,False
Ismail Merchant,1936,2005-05-25," , indian film producer ",True,False,False
Eddie Albert,1906,2005-05-26," , american actor ",True,False,False
Anne Bancroft,1931,2005-06-06," , american actress ",True,False,False
Luther Vandross,1951,2005-07-01," , american singer ",False,False,True
Claude Simon,1913,2005-07-06," , malagasy-french novelist and critic, nobel prize laureate ",False,True,False
Evan Hunter,1926,2005-07-06," , american writer ",False,True,False
James Doohan,1920,2005-07-20," , canadian actor ",True,False,False
Long John Baldry,1941,2005-07-21," , british musician ",False,False,True
Barbara Bel Geddes,1922,2005-08-08," , american actress, artist, and children's author ",True,True,False
Matthew McGrory,1973,2005-08-09," , american actor ",True,False,False
Robert Wise,1914,2005-09-14," , american film director ",True,False,False
Don Adams,1923,2005-09-25," , american actor ",True,False,False
Ba Jin,1904,2005-10-17," , chinese writer ",False,True,False
Michael Piller,1948,2005-11-01," , american screenwriter and producer ",False,True,False
John Fowles,1926,2005-11-05," , english novelist ",False,True,False
Moustapha Akkad,1930,2005-11-11," , syrian-american film producer ",True,False,False
Erik Balling,1924,2005-11-19," , danish television and film director ",True,False,False
Pat Morita,1932,2005-11-24," , american actor ",True,False,False
Tony Meehan,1943,2005-11-28," , english drummer ([[the shadows]]) ",False,False,True
John Spencer (actor)|John Spencer,1946,2005-12-16," , american actor ",True,False,False
Birgit Nilsson,1918,2005-12-25," , swedish soprano ",False,False,True
Vincent Schiavelli,1948,2005-12-26," , american actor ",True,False,False
Lou Rawls,1933,2006-01-06," , african-american singer ",False,False,True
Heinrich Harrer,1912,2006-01-07," , austrian mountaineer, explorer and author ",False,True,False
Shelley Winters,1920,2006-01-14," , american actress ",True,False,False
Anthony Franciosa,1928,2006-01-19," , american actor ",True,False,False
Wilson Pickett,1941,2006-01-19," , american singer ",False,False,True
Ibrahim Rugova,1944,2006-01-21," , kosovar writer, scholar and political leader ",False,True,False
Chris Penn,1965,2006-01-24," , american actor ",True,False,False
Betty Friedan,1921,2006-02-04," , american feminist, activist, and writer ",False,True,False
Akira Ifukube,1914,2006-02-08," , japanese classical music/film composer ",False,False,True
Peter Benchley,1940,2006-02-12," , american writer ",False,True,False
Andreas Katsulas,1946,2006-02-13," , american actor ",True,False,False
Don Knotts,1924,2006-02-24," , american actor ",True,False,False
Dennis Weaver,1924,2006-02-24," , american actor ",True,False,False
Dana Reeve,1961,2006-03-06," , american actress ",True,False,False
Maureen Stapleton,1925,2006-03-13," , american actress ",True,False,False
Richard Fleischer,1916,2006-03-25," , american film director ",True,False,False
Stanis?aw Lem,1921,2006-03-27," , polish writer ",False,True,False
Gene Pitney,1941,2006-04-05," , american singer ",False,False,True
Gerard Reve,1923,2006-04-08," , dutch author ",False,True,False
Proof (rapper)|Proof,1973,2006-04-11," , american rapper ([[d12]]) ",False,False,True
Alida Valli,1921,2006-04-23," , italian actress ",True,False,False
Jane Jacobs,1916,2006-04-25," , american-born writer and activist ",False,True,False
Desmond Dekker,1941,2006-05-25," , jamaican singer and songwriter ",False,True,True
Shohei Imamura,1926,2006-05-30," , japanese film director ",True,False,False
Billy Preston,1946,2006-06-06," , american artist and musician ",False,False,True
György Ligeti,1923,2006-06-12," , hungarian composer ",False,False,True
Syd Barrett,1946,2006-07-07," , english singer, songwriter, and guitarist ",False,True,True
June Allyson,1917,2006-07-08," , american actress ",True,False,False
Red Buttons,1919,2006-07-13," , american actor and comedian ",True,False,False
Mickey Spillane,1918,2006-07-17," , american writer ",False,True,False
Jack Warden,1920,2006-07-19," , american actor ",True,False,False
David Gemmell,1948,2006-07-28," , british author ",False,True,False
Arthur Lee (musician)|Arthur Lee,1945,2006-08-03," , american musician ",False,False,True
Elisabeth Schwarzkopf,1915,2006-08-03," , german-born soprano ",False,False,True
Bismillah Khan,1916,2006-08-21," , indian musician ",False,False,True
S. Yizhar,1916,2006-08-21," , israeli writer ",False,True,False
Maynard Ferguson,1928,2006-08-23," , canadian musician and bandleader ",False,False,True
Hrishikesh Mukherjee,1922,2006-08-27," , indian filmmaker ",True,False,False
Glenn Ford,1916,2006-08-30," , canadian actor ",True,False,False
Naguib Mahfouz,1911,2006-08-30," , egyptian nobel writer ",False,True,False
György Faludy,1910,2006-09-01," , hungarian poet ",False,True,False
Mickey Hargitay,1926,2006-09-14," , hungarian-born actor and bodybuilder ",True,False,False
Malcolm Arnold,1921,2006-09-23," , english composer ",False,False,True
Jane Wyatt,1910,2006-10-20," , american actress ",True,False,False
William Styron,1925,2006-11-01," , american writer ",False,True,False
Adrienne Shelly,1966,2006-11-01," , american actress & director ",True,False,False
Paul Mauriat,1925,2006-11-03," , french musician ",False,False,True
Bülent Ecevit,1925,2006-11-05," , turkish politician, poet, writer and journalist, prime minister of turkey ",False,True,False
Basil Poledouris,1945,2006-11-08," , american composer ",False,False,True
Jack Palance,1919,2006-11-10," , american actor ",True,False,False
Ruth Brown,1928,2006-11-17," , american singer ",False,False,True
Robert Altman,1925,2006-11-20," , american film director ",True,False,False
Hassan Gouled Aptidon,1916,2006-11-21," , 1st president of djibouti ",False,False,True
Philippe Noiret,1930,2006-11-23," , french actor ",True,False,False
